#,"Date Time, GMT-07:00",Temp_F ,Temp_C,Light lum/ft2,Site,Method,Elevation
217,5/21/2023 19:45,53.274,11.81888889,1,Thorndyke,Ground Bag,Low
218,5/21/2023 20:00,52.75,11.52777778,0,Thorndyke,Ground Bag,Low
219,5/21/2023 20:15,52.401,11.33388889,0,Thorndyke,Ground Bag,Low
220,5/21/2023 20:30,51.874,11.04111111,0,Thorndyke,Ground Bag,Low
221,5/21/2023 20:45,51.699,10.94388889,0,Thorndyke,Ground Bag,Low
222,5/21/2023 21:00,51.523,10.84611111,0,Thorndyke,Ground Bag,Low
223,5/21/2023 21:15,51.346,10.74777778,0,Thorndyke,Ground Bag,Low
224,5/21/2023 21:30,51.172,10.65111111,0,Thorndyke,Ground Bag,Low
225,5/21/2023 21:45,51.172,10.65111111,0,Thorndyke,Ground Bag,Low
226,5/21/2023 22:00,50.995,10.55277778,0,Thorndyke,Ground Bag,Low
227,5/21/2023 22:15,50.819,10.455,0,Thorndyke,Ground Bag,Low
228,5/21/2023 22:30,50.819,10.455,0,Thorndyke,Ground Bag,Low
229,5/21/2023 22:45,50.819,10.455,0,Thorndyke,Ground Bag,Low
230,5/21/2023 23:00,52.401,11.33388889,0,Thorndyke,Ground Bag,Low
231,5/21/2023 23:15,52.576,11.43111111,0,Thorndyke,Ground Bag,Low
232,5/21/2023 23:30,52.401,11.33388889,0,Thorndyke,Ground Bag,Low
233,5/21/2023 23:45,52.401,11.33388889,0,Thorndyke,Ground Bag,Low
234,5/22/2023 0:00,53.274,11.81888889,0,Thorndyke,Ground Bag,Low
235,5/22/2023 0:15,53.973,12.20722222,0,Thorndyke,Ground Bag,Low
236,5/22/2023 0:30,54.147,12.30388889,0,Thorndyke,Ground Bag,Low
237,5/22/2023 0:45,54.322,12.40111111,0,Thorndyke,Ground Bag,Low
238,5/22/2023 1:00,54.495,12.49722222,0,Thorndyke,Ground Bag,Low
239,5/22/2023 1:15,54.495,12.49722222,0,Thorndyke,Ground Bag,Low
240,5/22/2023 1:30,54.495,12.49722222,0,Thorndyke,Ground Bag,Low
241,5/22/2023 1:45,54.669,12.59388889,0,Thorndyke,Ground Bag,Low
242,5/22/2023 2:00,54.842,12.69,0,Thorndyke,Ground Bag,Low
243,5/22/2023 2:15,55.017,12.78722222,0,Thorndyke,Ground Bag,Low
244,5/22/2023 2:30,55.189,12.88277778,0,Thorndyke,Ground Bag,Low
245,5/22/2023 2:45,55.189,12.88277778,0,Thorndyke,Ground Bag,Low
246,5/22/2023 3:00,55.189,12.88277778,0,Thorndyke,Ground Bag,Low
247,5/22/2023 3:15,55.189,12.88277778,0,Thorndyke,Ground Bag,Low
248,5/22/2023 3:30,55.364,12.98,0,Thorndyke,Ground Bag,Low
249,5/22/2023 3:45,55.537,13.07611111,0,Thorndyke,Ground Bag,Low
